date,steps,calories,distance,floors,minutesSedentary,minutesLightlyActive,minutesFairlyActive,minutesVeryActive,restingHeartRate
2025-08-09,0,1629,0,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-10,13,1630,0.0047783445,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-11,14,1631,0.00430051,0,1439,1,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-12,26,1629,0.0057340134,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-13,0,1629,0,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-14,0,1629,0,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-15,409,1724,0.1953385976,0,1404,36,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1723.9577599999998, 'max': 114, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 141, 'min': 114, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 174, 'min': 141, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 174, 'minutes': 0, 'name': 'Peak'}]}"
2025-08-16,5760,2796,2.750552399,0,1083,325,32,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2082.5119999999997, 'max': 106, 'min': 30, 'minutes': 1244, 'name': 'Out of Range'}, {'caloriesOut': 700.3578400000004, 'max': 135, 'min': 106, 'minutes': 191, 'name': 'Fat Burn'}, {'caloriesOut': 13.80796, 'max': 172, 'min': 135, 'minutes': 5, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 47}"
2025-08-17,7060,2804,3.3715209427,0,1000,420,8,12,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2292.3446000000004, 'max': 111, 'min': 30, 'minutes': 1324, 'name': 'Out of Range'}, {'caloriesOut': 267.8821599999999, 'max': 138, 'min': 111, 'minutes': 70, 'name': 'Fat Burn'}, {'caloriesOut': 243.84724000000006, 'max': 173, 'min': 138, 'minutes': 46, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 173, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 56}"
2025-08-18,4654,2104,2.1884879802,0,1272,168,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1900.3384400000002, 'max': 108, 'min': 30, 'minutes': 1387, 'name': 'Out of Range'}, {'caloriesOut': 179.30275999999998, 'max': 137, 'min': 108, 'minutes': 45, 'name': 'Fat Burn'}, {'caloriesOut': 25.16332, 'max': 172, 'min': 137, 'minutes': 8, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 52}"
2025-08-19,2660,2006,1.2702038843,0,1288,152,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1949.8752, 'max': 106, 'min': 30, 'minutes': 1412, 'name': 'Out of Range'}, {'caloriesOut': 56.307159999999996, 'max': 135, 'min': 106, 'minutes': 28, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-08-20,3598,2096,1.7180571711,0,1258,182,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1921.32668, 'max': 106, 'min': 30, 'minutes': 1375, 'name': 'Out of Range'}, {'caloriesOut': 160.68416000000002, 'max': 135, 'min': 106, 'minutes': 61, 'name': 'Fat Burn'}, {'caloriesOut': 14.782039999999999, 'max': 172, 'min': 135, 'minutes': 4, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-08-21,5957,2318,2.77201456,0,1203,227,10,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2200.04148, 'max': 106, 'min': 30, 'minutes': 1399, 'name': 'Out of Range'}, {'caloriesOut': 118.25632000000002, 'max': 135, 'min': 106, 'minutes': 41, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-08-22,2553,2053,1.2191395997,0,1282,158,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1969.84788, 'max': 107, 'min': 30, 'minutes': 1416, 'name': 'Out of Range'}, {'caloriesOut': 79.21367999999998, 'max': 136, 'min': 107, 'minutes': 22, 'name': 'Fat Burn'}, {'caloriesOut': 4.40076, 'max': 172, 'min': 136, 'minutes': 2, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 50}"
2025-08-23,3321,2157,1.5723766951,0,1239,201,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2094.42324, 'max': 108, 'min': 30, 'minutes': 1411, 'name': 'Out of Range'}, {'caloriesOut': 59.80520000000003, 'max': 136, 'min': 108, 'minutes': 28, 'name': 'Fat Burn'}, {'caloriesOut': 3.49804, 'max': 172, 'min': 136, 'minutes': 1, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 51}"
2025-08-24,1662,1846,0.793515246,0,1338,102,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1832.29592, 'max': 108, 'min': 30, 'minutes': 1434, 'name': 'Out of Range'}, {'caloriesOut': 14.105, 'max': 137, 'min': 108, 'minutes': 6, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 52}"
2025-08-25,6027,2310,2.8776911586,0,1205,235,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2056.509, 'max': 107, 'min': 30, 'minutes': 1376, 'name': 'Out of Range'}, {'caloriesOut': 249.26356, 'max': 136, 'min': 107, 'minutes': 63, 'name': 'Fat Burn'}, {'caloriesOut': 4.5136, 'max': 172, 'min': 136, 'minutes': 1, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 50}"
2025-08-26,4492,2133,2.1448080709,0,1239,201,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2109.3181200000004, 'max': 107, 'min': 30, 'minutes': 1432, 'name': 'Out of Range'}, {'caloriesOut': 24.14776, 'max': 136, 'min': 107, 'minutes': 8, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 136, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 49}"
2025-08-27,7473,2678,3.4861788406,0,1119,266,27,28,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2224.0764000000004, 'max': 106, 'min': 30, 'minutes': 1343, 'name': 'Out of Range'}, {'caloriesOut': 404.53139999999985, 'max': 135, 'min': 106, 'minutes': 90, 'name': 'Fat Burn'}, {'caloriesOut': 49.0854, 'max': 172, 'min': 135, 'minutes': 7, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-08-28,5853,2406,2.7947231916,0,1184,232,0,24,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2295.05276, 'max': 106, 'min': 30, 'minutes': 1408, 'name': 'Out of Range'}, {'caloriesOut': 111.59876000000001, 'max': 135, 'min': 106, 'minutes': 32, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-08-29,5495,2357,2.615890077,0,1158,282,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2277.3368800000003, 'max': 105, 'min': 30, 'minutes': 1409, 'name': 'Out of Range'}, {'caloriesOut': 79.89072000000002, 'max': 135, 'min': 105, 'minutes': 31, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 171, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 171, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 47}"
2025-08-30,8245,2989,3.9368276764,0,1014,361,52,13,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2397.17296, 'max': 106, 'min': 30, 'minutes': 1316, 'name': 'Out of Range'}, {'caloriesOut': 522.4492, 'max': 135, 'min': 106, 'minutes': 106, 'name': 'Fat Burn'}, {'caloriesOut': 69.62228, 'max': 172, 'min': 135, 'minutes': 18, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-08-31,8817,3109,4.0344357701,0,1088,236,6,110,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2321.57016, 'max': 107, 'min': 30, 'minutes': 1328, 'name': 'Out of Range'}, {'caloriesOut': 694.8687199999999, 'max': 136, 'min': 107, 'minutes': 96, 'name': 'Fat Burn'}, {'caloriesOut': 93.43151999999999, 'max': 172, 'min': 136, 'minutes': 16, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 49}"
2025-09-01,3306,2087,1.5748895202,0,1253,177,10,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2055.9447999999998, 'max': 107, 'min': 30, 'minutes': 1431, 'name': 'Out of Range'}, {'caloriesOut': 30.69248, 'max': 136, 'min': 107, 'minutes': 9, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 136, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 50}"
2025-09-02,3299,2024,1.5751560884,0,1267,173,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2011.14732, 'max': 106, 'min': 30, 'minutes': 1434, 'name': 'Out of Range'}, {'caloriesOut': 13.42796, 'max': 135, 'min': 106, 'minutes': 6, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-09-03,2261,1964,1.0797585849,0,1293,147,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1856.10516, 'max': 105, 'min': 30, 'minutes': 1395, 'name': 'Out of Range'}, {'caloriesOut': 107.87504000000001, 'max': 135, 'min': 105, 'minutes': 45, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 171, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 171, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 47}"
2025-09-04,2174,1974,1.0380925396,0,1301,139,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1880.81712, 'max': 106, 'min': 30, 'minutes': 1406, 'name': 'Out of Range'}, {'caloriesOut': 93.54436000000001, 'max': 135, 'min': 106, 'minutes': 34, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-09-05,1604,1923,0.7660580957,0,1315,125,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1912.0738000000001, 'max': 106, 'min': 30, 'minutes': 1434, 'name': 'Out of Range'}, {'caloriesOut': 11.62252, 'max': 135, 'min': 106, 'minutes': 6, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 135, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 48}"
2025-09-06,1394,1849,0.6656631522,0,1339,101,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1819.3193199999998, 'max': 107, 'min': 30, 'minutes': 1424, 'name': 'Out of Range'}, {'caloriesOut': 29.676920000000006, 'max': 136, 'min': 107, 'minutes': 16, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 136, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 49}"
2025-09-07,1914,1937,0.9139929064,0,1308,132,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1932.385, 'max': 107, 'min': 30, 'minutes': 1438, 'name': 'Out of Range'}, {'caloriesOut': 4.6264400000000006, 'max': 136, 'min': 107, 'minutes': 2, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 136, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 49}"
2025-09-08,1422,1330,0.6790126909,0,1369,71,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1318.42256, 'max': 107, 'min': 30, 'minutes': 1437, 'name': 'Out of Range'}, {'caloriesOut': 10.83264, 'max': 136, 'min': 107, 'minutes': 3, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 172, 'min': 136, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 49}"
